cf_class_id,Anon Student Id,count
c1,s74,4367
c1,s341,3508
c1,s47,1803
c1,s329,1422
c1,s67,874
c1,s15,694
c1,s111,658
c1,s165,567
c1,s357,538
c1,s284,499
c1,s25,442
c1,s216,424
c1,s252,333
c1,s349,291
c1,s356,290
c1,s59,273
c1,s235,253
c1,s160,152
c1,s88,136
c1,s348,131
c1,s190,127
c1,s336,69
c10,s326,7417
c10,s240,6984
c10,s147,6046
c10,s34,5991
c10,s232,5133
c10,s314,4669
c10,s187,4491
c10,s334,4067
c10,s196,3829
c10,s18,3368
c10,s62,3261
c10,s198,3113
c10,s30,3108
c10,s41,2996
c10,s315,2724
c10,s225,2595
c10,s313,2513
c10,s137,2492
c10,s260,2023
c10,s186,1910
c10,s177,1622
c10,s119,1568
c10,s69,1557
c10,s226,1541
c10,s298,1442
c10,s256,1301
c10,s320,1209
c10,s139,1202
c10,s53,1133
c10,s155,1126
c10,s213,1122
c10,s179,1063
c10,s255,1053
c10,s38,961
c10,s51,598
c10,s321,526
c10,s331,462
c10,s170,173
c11,s263,3973
c11,s218,3825
c11,s265,3614
c11,s305,3519
c11,s157,3492
c11,s181,3473
c11,s343,3248
c11,s192,3246
c11,s162,2808
c11,s142,2544
c11,s114,2390
c11,s99,2327
c11,s230,2235
c11,s144,1805
c11,s276,1770
c11,s107,1742
c11,s195,1618
c11,s269,1247
c11,s275,1247
c11,s13,1224
c11,s358,1188
c11,s156,850
c11,s95,777
c11,s163,604
c11,s194,361
c12,s108,21162
c12,s4,12976
c12,s327,12897
c12,s3,11835
c12,s8,10258
c12,s112,9691
c12,s197,9529
c12,s297,9348
c12,s219,8881
c12,s244,8159
c12,s222,7513
c12,s204,7160
c12,s58,6839
c12,s150,6742
c12,s351,6453
c12,s299,6370
c12,s9,4849
c12,s242,3398
c12,s76,3160
c12,s64,2951
c12,s73,2334
c12,s7,2289
c12,s113,2284
c12,s220,2243
c12,s350,1482
c12,s229,1244
c12,s201,541
c12,s294,274
c12,s102,265
c12,s12,6
c13,s6,15041
c13,s176,10255
c13,s239,7282
c13,s42,7252
c13,s247,7212
c13,s149,7140
c13,s32,6930
c13,s145,6718
c13,s228,6687
c13,s37,6421
c13,s330,6341
c13,s238,6327
c13,s82,5459
c13,s66,5451
c13,s304,5053
c13,s152,5016
c13,s257,4808
c13,s118,4648
c13,s143,4285
c13,s158,1911
c14,s243,11840
c14,s129,10763
c14,s346,7929
c14,s70,7501
c14,s50,6232
c14,s35,6068
c14,s345,4620
c14,s286,3393
c14,s33,2165
c14,s87,1713
c14,s250,62
c15,s132,14311
c15,s273,9414
c15,s215,9303
c15,s36,8253
c15,s138,7942
c15,s173,6754
c15,s217,6617
c15,s290,6291
c15,s81,6270
c15,s185,6237
c15,s221,6065
c15,s123,5592
c15,s339,5582
c15,s233,5550
c15,s48,5464
c15,s191,5409
c15,s24,5278
c15,s77,5097
c15,s159,4702
c15,s241,4442
c15,s22,4317
