cf_class_id,Anon Student Id,Session Id,0
c1,s111,02nz11rk5vapthxnhkufh2mlx7q:1677166192418,225
c1,s111,8jnruvmdjomeujh343gnd9aw_f0:1666797238899,74
c1,s111,eirroqbeufsh8kymyguof0qkrfg:1666712116267,75
c1,s111,hpqwpqrwr3o0egjnrmmans2nibq:1672932855145,78
c1,s111,kiteau2dhnkmlvmwowpsjixeiok:1667315656734,41
c1,s111,mir9yikalvl3iosj-2zc3kaaufo:1666711081493,15
c1,s111,mp_yp-klyvqhihbizz7zsculpxu:1677170234040,50
c1,s111,ulwseeln5qkjztomorv44mqfudm:1667488630051,62
c1,s111,vso3vj6tzjyjazypji8xp2itd8k:1668702069005,38
c1,s15,0iqmhoagcckqgxydosh-sc31db4:1661355923468,44
c1,s15,cdxwgc8bqygaanjtbt1hl4u0jbw:1663169602206,54
c1,s15,dc0fkr47nif6lnq2ogs16zsa_pe:1661440545879,185
c1,s15,e1viz_-o_igb_w5rhzrvi4oc_qm:1663859877543,28
c1,s15,gbixbjazrbybggcqtz6chh0ybdk:1661960321452,46
c1,s15,ocf7pnbuznvkezqoe_6h-ul5g74:1662734369682,3
c1,s15,ofvonx-re9blrqq8iwoapjypkow:1663255069163,9
c1,s15,qvgue_eq145nubp5dbfbwzrwj3g:1661786748210,74
c1,s15,un_64pivscwrcgk2bhkkbxmp63s:1663943851634,78
c1,s15,utxlvean4qmlfqlzoc06xkepojo:1663686744575,47
c1,s15,ytro4-gf0xooehucswm4qvisbsu:1662045497423,126
c1,s160,nawao8pzrbpvbrxzqwhhm7mi_u4:1675958190113,152
c1,s165,1qlty2jvj7f6mktsxn4xcsgmbjo:1663686966880,64
c1,s165,3zfdpxaeb8pitzi1fmwefpxqqkw:1662045724883,42
c1,s165,dtlob4hnebzwtrgzqa1slfr8_i8:1664464416890,47
c1,s165,egkebyamh8p7tzmqa37lbhfn2ye:1664983166441,123
c1,s165,icvzbsl9drmpujqeayvjnyhn6xw:1668701989351,25
c1,s165,m49zdxih1i2yiqksegzx680yql4:1666625036443,43
c1,s165,maptbcqj0nbvuuhv_qcowncd4cq:1662734172422,15
c1,s165,p2fi-ur8gxu--i9nnbma6h63kj4:1664896655753,60
c1,s165,tbblxqzls8kcupv0_irwefian7e:1663860999599,11
c1,s165,wyv1szgrj4iuuaqdqzlqegtoapq:1661440595320,31
c1,s165,xormddzyrtthptzujb_kimdq3ey:1663943698879,52
c1,s165,yrsukjr4_rjmfq7xlb8tnndfrim:1663083155575,54
